Date,Close
3/10/2021,69.5
3/11/2021,73.9
3/12/2021,69.7
3/15/2021,72.15
3/16/2021,77
3/17/2021,76.79
3/18/2021,67.3
3/19/2021,70.5
3/22/2021,70
3/23/2021,68
3/24/2021,64.5
3/25/2021,67.85
3/26/2021,70.97
3/29/2021,67.03
3/30/2021,65.17
3/31/2021,64.83
4/1/2021,67.34
4/5/2021,70.76
4/6/2021,71.32
4/7/2021,68.73
4/8/2021,70.76
4/9/2021,71.83
4/12/2021,75
4/13/2021,82.05
4/14/2021,75.35
4/15/2021,79.66
4/16/2021,75.85
4/19/2021,72
4/20/2021,69.24
4/21/2021,71.76
4/22/2021,69.85
4/23/2021,71.78
4/26/2021,74.9
4/27/2021,74.35
4/28/2021,75.64
4/29/2021,76.12
4/30/2021,74.55
5/3/2021,71.08
5/4/2021,69.62
5/5/2021,66.59
5/6/2021,65.06
5/7/2021,67.9
5/10/2021,64
5/11/2021,77.65
5/12/2021,75.53
5/13/2021,69.68
5/14/2021,70.95
5/17/2021,76.93
5/18/2021,74.99
5/19/2021,75.22
5/20/2021,76.33
5/21/2021,82.5
5/24/2021,89.23
5/25/2021,89.32
5/26/2021,89.71
5/27/2021,97.47
5/28/2021,93.77
6/1/2021,96.89
6/2/2021,99.86
6/3/2021,96.5
6/4/2021,99.57
6/7/2021,93.44
6/8/2021,91.41
6/9/2021,91.04
6/10/2021,91
6/11/2021,92.82
6/14/2021,87.8
6/15/2021,89.8
6/16/2021,82.59
6/17/2021,82.98
6/18/2021,81.14
6/21/2021,82.51
6/22/2021,82.44
6/23/2021,84.86
6/24/2021,87.34
6/25/2021,87
6/28/2021,93.04
6/29/2021,92.6
6/30/2021,89.98
7/1/2021,85.82
7/2/2021,86.2
7/6/2021,86.98
7/7/2021,86.4
7/8/2021,86.88
7/9/2021,86.26
7/12/2021,86.54
7/13/2021,84.02
7/14/2021,79.17
7/15/2021,77.28
7/16/2021,77.56
7/19/2021,79.24
7/20/2021,79.86
7/21/2021,79.91
7/22/2021,82.03
7/23/2021,81.83
7/26/2021,77.63
7/27/2021,76.19
7/28/2021,79.13
7/29/2021,76.85
7/30/2021,76.98
8/2/2021,78.31
8/3/2021,77.49
8/4/2021,81.65
8/5/2021,80.57
8/6/2021,77.92
8/9/2021,85.51
8/10/2021,85.08
8/11/2021,84.69
8/12/2021,82.65
8/13/2021,83.96
8/16/2021,79.57
8/17/2021,78.68
8/18/2021,83.46
8/19/2021,81.35
8/20/2021,82.77
8/23/2021,85.06
8/24/2021,89.26
8/25/2021,90.34
8/26/2021,85.81
8/27/2021,85.4
8/30/2021,81.87
8/31/2021,82.05
9/1/2021,84.45
9/2/2021,84.6
9/3/2021,82.87
9/7/2021,84.97
9/8/2021,83.51
9/9/2021,86.35
9/10/2021,87.88
9/13/2021,84.65
9/14/2021,82.33
9/15/2021,82.15
9/16/2021,81.42
9/17/2021,80.81
9/20/2021,77.77
9/21/2021,78.85
9/22/2021,81.18
9/23/2021,82.28
9/24/2021,83.22
9/27/2021,79.99
9/28/2021,77.05
9/29/2021,76.31
9/30/2021,75.55
10/1/2021,75.59
10/4/2021,77.8
10/5/2021,72.57
10/6/2021,73.7
10/7/2021,74.8
10/8/2021,70.44
10/11/2021,70.22
10/12/2021,71.9
10/13/2021,74.78
10/14/2021,74.35
10/15/2021,76.58
10/18/2021,77.8
10/19/2021,79.17
10/20/2021,78.58
10/21/2021,83.19
10/22/2021,83.98
10/25/2021,83.21
10/26/2021,80.89
10/27/2021,80.68
10/28/2021,82.75
10/29/2021,84.02
11/1/2021,81.14
11/2/2021,79.59
11/3/2021,78.36
11/4/2021,82.53
11/5/2021,77.99
11/8/2021,77
11/9/2021,109.52
11/10/2021,95.26
11/11/2021,98.12
11/12/2021,107.58
11/15/2021,108.06
11/16/2021,116.18
11/17/2021,124.7
11/18/2021,126.12
11/19/2021,134.72
11/22/2021,120.22
11/23/2021,114.87
11/24/2021,124.23
11/26/2021,122.65
11/29/2021,129.36
11/30/2021,126.1
12/1/2021,113.41
12/2/2021,116.92
12/3/2021,113.79
12/6/2021,113.25
12/7/2021,115.99
12/8/2021,124.78
12/9/2021,116.3
12/10/2021,115.89
12/13/2021,111.77
12/14/2021,107.67
12/15/2021,97.95
12/16/2021,95.21
12/17/2021,102.4
12/20/2021,98.69
12/21/2021,102.59
12/22/2021,102.77
12/23/2021,101.82
12/27/2021,105.01
12/28/2021,98.74
12/29/2021,97.34
12/30/2021,100.53
12/31/2021,103.16
1/3/2022,98.81
1/4/2022,95.15
1/5/2022,88.54
1/6/2022,89.2
1/7/2022,84.37
1/10/2022,85.52
1/11/2022,89.04
1/12/2022,89.06
1/13/2022,80.18
1/14/2022,79.05
1/18/2022,77.21
1/19/2022,76.16
1/20/2022,75.39
1/21/2022,68.93
1/24/2022,70.74
1/25/2022,65.29
1/26/2022,63.02
1/27/2022,57.06
1/28/2022,58.18
1/31/2022,65.86
2/1/2022,67.75
2/2/2022,66.17
2/3/2022,60.67
2/4/2022,63.74
2/7/2022,63.06
2/8/2022,64.43
2/9/2022,70.48
2/10/2022,69.92
2/11/2022,66.81
2/14/2022,68.32
2/15/2022,73.3
2/16/2022,53.87
2/17/2022,54.49
2/18/2022,49.72
2/22/2022,48.21
2/23/2022,45.68
2/24/2022,50.1
2/25/2022,50.05
2/28/2022,51.57
3/1/2022,50.22
3/2/2022,48.45
3/3/2022,45.24
3/4/2022,42.29
3/7/2022,41.3
3/8/2022,41.91
3/9/2022,44.38
3/10/2022,41.47
3/11/2022,39.24
3/14/2022,36.68
3/15/2022,37.87
3/16/2022,41.51
3/17/2022,46.35
3/18/2022,49.62
3/21/2022,46.62
3/22/2022,50.51
3/23/2022,50.71
3/24/2022,50.79
3/25/2022,47.07
3/28/2022,48.4
3/29/2022,50.92
3/30/2022,48.12
3/31/2022,46.24
4/1/2022,46.02
4/4/2022,50.02
4/5/2022,49.03
4/6/2022,45.89
4/7/2022,44.73
4/8/2022,43.1
4/11/2022,44.02
4/12/2022,43
4/13/2022,44.97
4/14/2022,42.36
4/18/2022,40.85
4/19/2022,42
4/20/2022,36.75
4/21/2022,34.61
4/22/2022,34.35
4/25/2022,34.61
4/26/2022,31.76
4/27/2022,30.36
4/28/2022,32.11
4/29/2022,30.65
5/2/2022,32.68
5/3/2022,33.1
5/4/2022,34.88
5/5/2022,30.44
5/6/2022,27.81
5/9/2022,24.61
5/10/2022,23.19
5/11/2022,23.97
5/12/2022,28.58
